economy,,gdp,total_population,urban_population(%_of_total)
ARG,YR1995,348389357874.283,34946110.0,88.164
ARG,YR1996,367643757074.802,35389362.0,88.366
ARG,YR1997,397463514160.866,35815971.0,88.564
ARG,YR1998,412766570325.764,36233195.0,88.759
ARG,YR1999,398792535409.293,36653031.0,88.952
ARG,YR2000,395646066535.875,37070774.0,89.142
ARG,YR2001,378202665751.853,37480493.0,89.329
ARG,YR2002,336999433710.193,37885028.0,89.51
ARG,YR2003,366780211148.674,38278164.0,89.686
ARG,YR2004,399898899166.738,38668796.0,89.86
ARG,YR2005,435296589745.339,39070501.0,90.031
ARG,YR2006,470325565798.353,39476851.0,90.2
ARG,YR2007,512690850741.56,39876111.0,90.366
ARG,YR2008,533491913656.279,40273769.0,90.53
ARG,YR2009,501917060966.235,40684338.0,90.691
ARG,YR2010,552738161802.463,40788453.0,90.849
ARG,YR2011,585924294024.785,41261490.0,90.99
ARG,YR2012,579910247223.428,41733271.0,91.121
ARG,YR2013,593858966307.156,42202935.0,91.249
ARG,YR2014,578937574935.696,42669500.0,91.377
ARG,YR2015,594749285413.212,43131966.0,91.503
ARG,YR2016,582376550428.09,43590368.0,91.627
ARG,YR2017,598790850843.677,44044811.0,91.749
ARG,YR2018,583118120294.002,44494502.0,91.87
AUS,YR1995,709324689028.176,18004882.0,84.898
AUS,YR1996,736682216065.674,18224767.0,84.767
AUS,YR1997,765507379138.636,18423037.0,84.636
AUS,YR1998,800822966576.12,18607584.0,84.503
AUS,YR1999,840514351519.241,18812264.0,84.37
AUS,YR2000,873304256772.879,19028802.0,84.235
AUS,YR2001,891132041285.544,19274701.0,84.1
AUS,YR2002,926720200168.456,19495210.0,84.222
AUS,YR2003,955554155868.69,19720737.0,84.343
AUS,YR2004,995846370342.055,19932722.0,84.463
AUS,YR2005,1027252902238.25,20176844.0,84.582
AUS,YR2006,1055406162043.85,20450966.0,84.7
AUS,YR2007,1095278528564.99,20827622.0,84.822
AUS,YR2008,1134361024069.53,21249199.0,84.943
AUS,YR2009,1155579099114.44,21691653.0,85.063
AUS,YR2010,1181077718202.88,22031750.0,85.182
AUS,YR2011,1209321835156.96,22340024.0,85.3
AUS,YR2012,1256509667568.29,22733465.0,85.402
AUS,YR2013,1288911964503.03,23128129.0,85.502
AUS,YR2014,1322153224623.29,23475686.0,85.602
AUS,YR2015,1350615691821.28,23815995.0,85.701
AUS,YR2016,1387494901475.28,24190907.0,85.8
AUS,YR2017,1419160083157.06,24594202.0,85.904
AUS,YR2018,1460075108728.85,24966643.0,86.012
AUT,YR1995,268576168421.57,7948278.0,61.596
AUT,YR1996,274886456416.226,7959017.0,61.32
AUT,YR1997,280641477589.641,7968041.0,61.045
AUT,YR1998,290692443914.523,7976789.0,60.768
AUT,YR1999,301030430129.082,7992324.0,60.491
AUT,YR2000,311192381028.414,8011566.0,60.213
AUT,YR2001,315135711888.113,8042293.0,59.934
AUT,YR2002,320340348097.004,8081957.0,59.655
AUT,YR2003,323356259321.687,8121423.0,59.375
AUT,YR2004,332200441760.824,8171966.0,59.094
AUT,YR2005,339655236682.676,8227829.0,58.813
AUT,YR2006,351387070656.34,8268641.0,58.532
AUT,YR2007,364484726093.492,8295487.0,58.249
AUT,YR2008,369807747327.812,8321496.0,57.966
AUT,YR2009,355886045571.664,8343323.0,57.683
AUT,YR2010,362424005611.476,8363404.0,57.399
AUT,YR2011,373016924602.914,8391643.0,57.115
AUT,YR2012,375555101767.152,8429991.0,57.147
AUT,YR2013,375650886015.0,8479823.0,57.336
AUT,YR2014,378134963330.691,8546356.0,57.526
AUT,YR2015,381971148530.543,8642699.0,57.715
AUT,YR2016,389570224508.691,8736668.0,57.905
AUT,YR2017,398368950204.699,8797566.0,58.094
AUT,YR2018,408030932405.258,8840521.0,58.297
BDI,YR1995,2100894502.07675,5932783.0,7.211
BDI,YR1996,1932822941.95387,5930507.0,7.412
BDI,YR1997,1902091057.23753,5923862.0,7.618
BDI,YR1998,1992440382.36304,6035340.0,7.83
BDI,YR1999,1972316734.57094,6180180.0,8.036
BDI,YR2000,1955416661.35412,6307659.0,8.246
BDI,YR2001,1995616256.07614,6465729.0,8.461
BDI,YR2002,2084351720.29655,6648938.0,8.682
BDI,YR2003,2058844925.50565,6860846.0,8.908
BDI,YR2004,2158362443.18037,7120496.0,9.139
BDI,YR2005,2177787705.18846,7388874.0,9.375
BDI,YR2006,2295688931.57302,7658190.0,9.617
BDI,YR2007,2374934932.67622,7944609.0,9.864
BDI,YR2008,2490397533.00674,8278109.0,10.118
BDI,YR2009,2585350049.54976,8709366.0,10.376
BDI,YR2010,2717827522.50394,9126605.0,10.642
BDI,YR2011,2827426634.86236,9455733.0,10.915
BDI,YR2012,2953153994.04242,9795479.0,11.194
BDI,YR2013,3098572904.69968,10149577.0,11.482
BDI,YR2014,3229972543.2146,10494913.0,11.776
BDI,YR2015,3104003611.42957,10727148.0,12.078
BDI,YR2016,3085379561.54199,10903327.0,12.388
BDI,YR2017,3100806498.30043,11155593.0,12.706
BDI,YR2018,3150727480.46183,11493472.0,13.032
BFA,YR1995,3685636766.66074,10353263.0,15.131
BFA,YR1996,4091600216.47068,10621210.0,15.407
BFA,YR1997,4350059840.1554,10897353.0,15.875
BFA,YR1998,4667950017.22733,11201063.0,16.51
BFA,YR1999,5013156021.43868,11533554.0,17.166
BFA,YR2000,5107828163.92166,11882888.0,17.844
BFA,YR2001,5445629565.17945,12249764.0,18.54
BFA,YR2002,5682675850.46101,12632269.0,19.258
BFA,YR2003,6126066286.40807,13030591.0,19.996
BFA,YR2004,6400419232.9076,13445977.0,20.757
BFA,YR2005,6954815432.94898,13876127.0,21.537
BFA,YR2006,7389711495.72987,14316242.0,22.339
BFA,YR2007,7693530543.6276,14757074.0,22.996
BFA,YR2008,8139754679.75346,15197915.0,23.534
BFA,YR2009,8380850213.3838,15650022.0,24.079
BFA,YR2010,9088720420.95919,16116845.0,24.633
BFA,YR2011,9690626621.56382,16602651.0,25.196
BFA,YR2012,10315931008.977,17113732.0,25.767
BFA,YR2013,10913490065.2338,17636408.0,26.346
BFA,YR2014,11385699931.5135,18169842.0,26.934
BFA,YR2015,11832159275.603,18718019.0,27.53
BFA,YR2016,12537116569.2425,19275498.0,28.134
BFA,YR2017,13314855268.0876,19835858.0,28.743
BFA,YR2018,14194244080.5891,20392723.0,29.358
BLZ,YR1995,1022231221.71946,203556.0,46.425
BLZ,YR1996,1032733597.28507,209840.0,46.214
BLZ,YR1997,1069741968.32579,217117.0,46.003
BLZ,YR1998,1111751470.58824,224907.0,45.793
BLZ,YR1999,1211273981.90045,232733.0,45.582
BLZ,YR2000,1368809615.38462,240406.0,45.398
BLZ,YR2001,1437825226.24434,248100.0,45.381
BLZ,YR2002,1511341855.20362,255987.0,45.364
BLZ,YR2003,1652373755.65611,263998.0,45.347
BLZ,YR2004,1728891063.34842,272128.0,45.33
BLZ,YR2005,1766899660.63348,280375.0,45.313
BLZ,YR2006,1847917986.42534,288729.0,45.296
BLZ,YR2007,1908431674.20814,297173.0,45.279
BLZ,YR2008,1879425113.12217,305671.0,45.262
BLZ,YR2009,1870923190.04525,314171.0,45.245
BLZ,YR2010,1894428506.78733,322106.0,45.228
BLZ,YR2011,1892428054.29864,329538.0,45.228
BLZ,YR2012,1965444570.13575,337059.0,45.246
BLZ,YR2013,2054464705.88235,344688.0,45.282
BLZ,YR2014,2138483710.40724,352335.0,45.335
BLZ,YR2015,2210500000.0,359871.0,45.406
BLZ,YR2016,2213000565.61086,367313.0,45.495
BLZ,YR2017,2175492081.44796,374693.0,45.601
BLZ,YR2018,2199497511.31222,382066.0,45.724
BOL,YR1995,14637304820.8066,7841471.0,59.15
BOL,YR1996,15275687736.6638,7989367.0,59.682
BOL,YR1997,16032477194.0665,8137619.0,60.212
BOL,YR1998,16838807348.2396,8286928.0,60.739
BOL,YR1999,16910689762.1471,8439052.0,61.264
BOL,YR2000,17334777867.8778,8592656.0,61.787
BOL,YR2001,17626660706.3223,8746084.0,62.306
BOL,YR2002,18064782945.5637,8900583.0,62.783
BOL,YR2003,18554580602.0356,9057378.0,63.248
BOL,YR2004,19328918095.8879,9216279.0,63.711
BOL,YR2005,20183533283.647,9377388.0,64.17
BOL,YR2006,21151739156.1698,9542663.0,64.628
BOL,YR2007,22117185810.8083,9711152.0,65.082
BOL,YR2008,23477060510.312,9880593.0,65.535
BOL,YR2009,24265185331.7026,10051317.0,65.984
BOL,YR2010,25266542216.5478,10223270.0,66.43
BOL,YR2011,26581436430.6683,10396246.0,66.874
BOL,YR2012,27943010858.0135,10569697.0,67.315
BOL,YR2013,29842021069.2817,10743349.0,67.699
BOL,YR2014,31471565371.8699,10916987.0,68.047
BOL,YR2015,33000198248.3362,11090085.0,68.393
BOL,YR2016,34407300577.8681,11263015.0,68.738
BOL,YR2017,35850757819.7381,11435533.0,69.08
BOL,YR2018,37364958855.9519,11606905.0,69.425
BRA,YR1995,1066860123057.74,163515328.0,77.61
BRA,YR1996,1090425612783.91,166037122.0,78.302
BRA,YR1997,1127443882933.16,168546707.0,79.048
BRA,YR1998,1131255747038.65,171039804.0,79.781
BRA,YR1999,1136549317651.98,173486281.0,80.496
BRA,YR2000,1186420527155.95,175873720.0,81.192
BRA,YR2001,1202910543363.1,178211881.0,81.553
BRA,YR2002,1239640958003.7,180476685.0,81.88
BRA,YR2003,1253783141526.78,182629278.0,82.203
BRA,YR2004,1326000607099.75,184722043.0,82.521
BRA,YR2005,1368460897672.78,186797334.0,82.834
BRA,YR2006,1422679163956.12,188820682.0,83.143
BRA,YR2007,1509033948357.92,190779453.0,83.448
BRA,YR2008,1585907087042.63,192672317.0,83.749
BRA,YR2009,1583911825584.01,194517549.0,84.044
BRA,YR2010,1703152284574.41,196353492.0,84.335
BRA,YR2011,1770842762050.66,198185302.0,84.631
BRA,YR2012,1804863767940.85,199977707.0,84.923
BRA,YR2013,1859096723592.52,201721767.0,85.209
BRA,YR2014,1868465748247.72,203459650.0,85.492
BRA,YR2015,1802214373741.32,205188205.0,85.77
BRA,YR2016,1743175328356.73,206859578.0,86.042
BRA,YR2017,1766235255333.29,208504960.0,86.309
BRA,YR2018,1797739006514.93,210166592.0,86.569
CAF,YR1995,1567392304.99919,3276706.0,37.231
CAF,YR1996,1504695155.69416,3363570.0,37.312
CAF,YR1997,1584443036.21582,3458472.0,37.394
CAF,YR1998,1658914114.82883,3555064.0,37.475
CAF,YR1999,1718634606.64694,3655360.0,37.557
CAF,YR2000,1675850359.21904,3759170.0,37.639
CAF,YR2001,1750672704.2313,3844773.0,37.72
CAF,YR2002,1813986521.21501,3930648.0,37.802
CAF,YR2003,1716076866.86578,4026841.0,37.884
CAF,YR2004,1818953688.29765,4115138.0,37.966
CAF,YR2005,1835473616.95542,4208834.0,38.069
CAF,YR2006,1923045631.27357,4294352.0,38.193
CAF,YR2007,2011650629.00283,4375569.0,38.339
CAF,YR2008,2052972567.42054,4467233.0,38.506
CAF,YR2009,2229266668.2677,4564540.0,38.694
CAF,YR2010,2332499960.04546,4660067.0,38.904
CAF,YR2011,2430339361.11484,4732022.0,39.135
CAF,YR2012,2553162910.07711,4773306.0,39.388
CAF,YR2013,1624016448.55729,4802428.0,39.663
CAF,YR2014,1625333047.06112,4798734.0,39.959
CAF,YR2015,1695825708.45604,4819333.0,40.277
CAF,YR2016,1776382802.68262,4904177.0,40.618
CAF,YR2017,1856804594.29617,4996741.0,40.98
CAF,YR2018,1927167157.0247,5094780.0,41.364
CAN,YR1995,,29302311.0,77.675
CAN,YR1996,,29610218.0,77.951
CAN,YR1997,1012649704327.9,29905948.0,78.34
CAN,YR1998,1052104074305.43,30155173.0,78.724
CAN,YR1999,1106423298897.52,30401286.0,79.103
CAN,YR2000,1163709866262.96,30685730.0,79.478
CAN,YR2001,1184539957269.95,31020902.0,79.81
CAN,YR2002,1220289971518.14,31360079.0,79.888
CAN,YR2003,1242273716666.7,31644028.0,79.967
CAN,YR2004,1280622467897.33,31940655.0,80.045
CAN,YR2005,1321656178498.24,32243753.0,80.122
CAN,YR2006,1356472617613.53,32571174.0,80.213
CAN,YR2007,1384543596091.58,32889025.0,80.396
CAN,YR2008,1398494571594.3,33247118.0,80.578
CAN,YR2009,1357541054226.41,33628895.0,80.758
CAN,YR2010,1399482212058.69,34004889.0,80.937
CAN,YR2011,1443522257095.4,34339328.0,81.096
CAN,YR2012,1468960331816.39,34714222.0,81.137
CAN,YR2013,1503174217512.03,35082954.0,81.178
CAN,YR2014,1546315859831.59,35437435.0,81.218
CAN,YR2015,1556508816217.14,35702908.0,81.259
CAN,YR2016,1572095608554.66,36109487.0,81.3
CAN,YR2017,1619885432081.64,36545236.0,81.35
CAN,YR2018,1664870307455.57,37065084.0,81.411
CHE,YR1995,473591186505.167,7040687.0,73.654
CHE,YR1996,475823127148.128,7071850.0,73.6
CHE,YR1997,486583035615.464,7088906.0,73.546
CHE,YR1998,501326351582.974,7110001.0,73.492
CHE,YR1999,509661911268.691,7143991.0,73.438
CHE,YR2000,529837997852.025,7184250.0,73.383
CHE,YR2001,538186453673.233,7229854.0,73.375
CHE,YR2002,537792409245.141,7284753.0,73.401
CHE,YR2003,537618172697.61,7339001.0,73.427
CHE,YR2004,552143052382.242,7389625.0,73.452
CHE,YR2005,567325324289.261,7437115.0,73.478
CHE,YR2006,590436050103.238,7483934.0,73.504
CHE,YR2007,613559744788.948,7551117.0,73.53
CHE,YR2008,630788401993.241,7647675.0,73.556
CHE,YR2009,616296829272.353,7743831.0,73.581
CHE,YR2010,636285784211.754,7824909.0,73.607
CHE,YR2011,647822333890.064,7912398.0,73.631
CHE,YR2012,655461803595.119,7996861.0,73.653
CHE,YR2013,667208623354.645,8089346.0,73.674
CHE,YR2014,682887233860.616,8188649.0,73.696
CHE,YR2015,694118186379.628,8282396.0,73.718
CHE,YR2016,708477337578.722,8373338.0,73.739
CHE,YR2017,718132463597.499,8451840.0,73.761
CHE,YR2018,738674253452.249,8514329.0,73.797
CHL,YR1995,104939158704.969,14416796.0,84.545
CHL,YR1996,112078082148.042,14615483.0,84.861
CHL,YR1997,120362601757.486,14809289.0,85.172
CHL,YR1998,125394825678.282,14996742.0,85.477
CHL,YR1999,125051706063.516,15176410.0,85.778
CHL,YR2000,131268803553.652,15351799.0,86.073
CHL,YR2001,135409067462.838,15523978.0,86.363
CHL,YR2002,139745947904.522,15693790.0,86.606
CHL,YR2003,146346491776.997,15859112.0,86.665
CHL,YR2004,156114028604.48,16017966.0,86.725
CHL,YR2005,165226475828.174,16175311.0,86.783
CHL,YR2006,175222662457.306,16334575.0,86.842
CHL,YR2007,184278574391.665,16495538.0,86.9
CHL,YR2008,191261613433.311,16661462.0,86.959
CHL,YR2009,189123237376.132,16833447.0,87.017
CHL,YR2010,200190069229.347,17004162.0,87.074
CHL,YR2011,212649692512.184,17173573.0,87.132
CHL,YR2012,225739004134.721,17341771.0,87.189
CHL,YR2013,233207597703.441,17509925.0,87.246
CHL,YR2014,237388192470.92,17687108.0,87.303
CHL,YR2015,242496649874.236,17870124.0,87.36
CHL,YR2016,246747710111.593,18083879.0,87.422
CHL,YR2017,250097792355.986,18368577.0,87.49
CHL,YR2018,260076767994.429,18701450.0,87.564
CHN,YR1995,1831411871435.46,1204855000.0,30.961
CHN,YR1996,2013134753757.7,1217550000.0,31.916
CHN,YR1997,2199083579885.44,1230075000.0,32.883
CHN,YR1998,2371622617326.55,1241935000.0,33.867
CHN,YR1999,2553328077171.96,1252735000.0,34.865
CHN,YR2000,2770108015885.86,1262645000.0,35.877
CHN,YR2001,3001016837148.73,1271850000.0,37.093
CHN,YR2002,3275118634996.31,1280400000.0,38.425
CHN,YR2003,3603876041860.81,1288400000.0,39.776
CHN,YR2004,3968358419663.33,1296075000.0,41.144
CHN,YR2005,4420536663136.43,1303720000.0,42.522
CHN,YR2006,4982871172216.7,1311020000.0,43.868
CHN,YR2007,5691976639219.75,1317885000.0,45.199
CHN,YR2008,6241291028834.91,1324655000.0,46.539
CHN,YR2009,6827892848566.12,1331260000.0,47.88
CHN,YR2010,7554098728364.74,1337705000.0,49.226
CHN,YR2011,8275578020536.57,1345035000.0,50.511
CHN,YR2012,8926347665673.95,1354190000.0,51.765
CHN,YR2013,9619581223626.48,1363240000.0,53.013
CHN,YR2014,10333908590021.3,1371860000.0,54.259
CHN,YR2015,11061553079876.4,1379860000.0,55.5
CHN,YR2016,11819132546490.1,1387790000.0,56.736
CHN,YR2017,12640231416521.9,1396215000.0,57.96
CHN,YR2018,13493418449047.0,1402760000.0,59.152
CIV,YR1995,24468419356.0445,14299727.0,41.21
CIV,YR1996,26359663603.0715,14810946.0,41.587
CIV,YR1997,28903065381.4869,15335453.0,41.964
CIV,YR1998,30135464903.0119,15858990.0,42.342
CIV,YR1999,30487103583.7078,16345894.0,42.741
CIV,YR2000,30406072074.5209,16799670.0,43.155
CIV,YR2001,29751121484.2331,17245468.0,43.568
CIV,YR2002,28938759235.8203,17683897.0,43.983
CIV,YR2003,27571152082.748,18116451.0,44.399
CIV,YR2004,28449303816.7208,18544903.0,44.817
CIV,YR2005,28732677534.6293,18970215.0,45.234
CIV,YR2006,29541668653.3775,19394057.0,45.652
CIV,YR2007,29867049384.8481,19817700.0,46.071
CIV,YR2008,31295490595.3316,20244449.0,46.491
CIV,YR2009,32423167757.1672,20677762.0,46.91
CIV,YR2010,34643522302.4172,21120042.0,47.33
CIV,YR2011,32783010214.6152,21562914.0,47.751
CIV,YR2012,35281210581.252,22010712.0,48.172
CIV,YR2013,39077544035.2415,22469268.0,48.593
CIV,YR2014,42739891439.5639,22995555.0,49.014
CIV,YR2015,45814637971.4745,23596741.0,49.444
CIV,YR2016,49103766045.2254,24213622.0,49.881
CIV,YR2017,52717625513.8388,24848016.0,50.326
CIV,YR2018,56350019798.3227,25493988.0,50.779
COL,YR1995,150006357806.764,35970101.0,71.777
COL,YR1996,153090270582.295,36632573.0,72.223
COL,YR1997,158341716456.135,37291946.0,72.662
COL,YR1998,159243922364.124,37944414.0,73.098
COL,YR1999,152549283593.271,38585033.0,73.53
COL,YR2000,157011138831.906,39215135.0,73.957
COL,YR2001,159645626073.266,39837875.0,74.379
COL,YR2002,163643121364.177,40454050.0,74.797
COL,YR2003,170055103810.761,41057687.0,75.211
COL,YR2004,179124180023.818,41648268.0,75.62
COL,YR2005,187773658763.744,42220940.0,76.024
COL,YR2006,200386168873.169,42772910.0,76.423
COL,YR2007,213888579065.498,43306582.0,76.816
COL,YR2008,220911495457.467,43815313.0,77.204
COL,YR2009,223429110323.159,44313917.0,77.587
COL,YR2010,233471486873.475,44816108.0,77.964
COL,YR2011,249692833589.596,45308899.0,78.335
COL,YR2012,259462404704.661,45782417.0,78.701
COL,YR2013,272783187748.922,46237930.0,79.061
COL,YR2014,285055785203.729,46677947.0,79.415
COL,YR2015,293481753078.868,47119728.0,79.764
COL,YR2016,299607839838.107,47625955.0,80.108
COL,YR2017,303680591569.989,48351671.0,80.446
COL,YR2018,311467946721.7,49276961.0,80.778
COM,YR1995,549132827.127306,483760.0,28.301
COM,YR1996,542039739.209173,494288.0,28.257
COM,YR1997,563884773.639465,505033.0,28.213
COM,YR1998,571116684.917886,515959.0,28.168
COM,YR1999,582107304.158834,526443.0,28.124
COM,YR2000,645253597.929273,536758.0,28.08
COM,YR2001,660306764.940171,547741.0,28.036
COM,YR2002,675658533.141122,559047.0,27.992
COM,YR2003,689873521.37292,570130.0,27.947
COM,YR2004,703116746.082698,581154.0,27.903
COM,YR2005,723068020.333961,592683.0,27.875
COM,YR2006,742207308.89297,604658.0,27.863
COM,YR2007,748145281.681156,616899.0,27.867
COM,YR2008,777806333.226554,629470.0,27.886
COM,YR2009,803013019.854478,642493.0,27.921
COM,YR2010,833348978.715286,656024.0,27.973
COM,YR2011,867878849.43906,670071.0,28.04
COM,YR2012,895376808.55641,684553.0,28.123
COM,YR2013,935366551.22574,699393.0,28.223
COM,YR2014,955071521.666078,714612.0,28.338
COM,YR2015,966029542.038859,730216.0,28.47
COM,YR2016,998106036.759259,746232.0,28.619
COM,YR2017,1036191396.38126,761664.0,28.784
COM,YR2018,1073934161.69033,776313.0,28.965
CRI,YR1995,24537079084.5062,3572856.0,54.561
CRI,YR1996,24868442409.6044,3656234.0,55.467
CRI,YR1997,26230279541.3798,3739421.0,56.367
CRI,YR1998,28107136983.1829,3821421.0,57.264
CRI,YR1999,29291799732.2181,3901430.0,58.157
CRI,YR2000,30425016886.8137,3979193.0,59.052
CRI,YR2001,31487205910.1365,4053222.0,60.41
CRI,YR2002,32563084814.7612,4122623.0,61.753
CRI,YR2003,33968891756.1696,4188610.0,63.08
CRI,YR2004,35471879204.0007,4252800.0,64.388
CRI,YR2005,36882477494.3787,4315887.0,65.672
CRI,YR2006,39584744288.2356,4378172.0,66.935
CRI,YR2007,42836683276.8456,4440019.0,68.174
CRI,YR2008,44866360242.4234,4501921.0,69.39
CRI,YR2009,44474472352.568,4563127.0,70.575
CRI,YR2010,46858456831.5203,4622252.0,71.736
